organization_identifier.x,organization_name.x,organization_type_text.x,action_identifier,action_name.x,actionAgencyCode.x,action_type_code.x,action_status_code.x,completion_date.x,organization_id.x,asessment_unit_identifier,pollutant_name,pollutant_source_type_code,explicit_margin_of_safety_text,implicit_margin_of_safety_text,load_allocation_numeric,load_allocation_units_text,permits,TMDL_end_point_text,parameters,TMDL_date.x,indian_country_indicator.x,water_type_code,organization_identifier.y,organization_name.y,organization_type_text.y,action_name.y,actionAgencyCode.y,action_type_code.y,action_status_code.y,completion_date.y,organization_id.y,documentAgencyCode,document_type_code,document_file_type,document_file_name,document_name,document_comments,document_url,TMDL_date.y,indian_country_indicator.y,parameters_name
OKDEQ,Oklahoma,State,OK121600010200_00_TMDL_DO,"Fort Gibson Lake, Upper TMDL for Dissolved Oxygen",S,TMDL,EPA Final Action,2023-07-10,OKDEQ,OK121600010200_00,DISSOLVED OXYGEN,Both,NA,Implicit,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2023-07-10,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,"Fort Gibson Lake, Upper TMDL for Dissolved Oxygen",S,TMDL,EPA Final Action,2023-07-10,OKDEQ,S,TMDL Report,application/pdf,FinalFtGibsonTMDL(EPA_July2023)_revised.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121600010200_00_TMDL_DO/212592,2023-07-10,NA,"PHOSPHORUS, TOTAL"
OKDEQ,Oklahoma,State,OK121600010200_00_TMDL_DO,"Fort Gibson Lake, Upper TMDL for Dissolved Oxygen",S,TMDL,EPA Final Action,2023-07-10,OKDEQ,OK121600010200_00,DISSOLVED OXYGEN,Both,NA,Implicit,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2023-07-10,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,"Fort Gibson Lake, Upper TMDL for Dissolved Oxygen",S,TMDL,EPA Final Action,2023-07-10,OKDEQ,S,TMDL Report,application/pdf,FinalFtGibsonTMDL(EPA_July2023)_revised.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121600010200_00_TMDL_DO/212592,2023-07-10,NA,"NITROGEN, TOTAL"
OKDEQ,Oklahoma,State,OK121600010200_00_TMDL_DO,"Fort Gibson Lake, Upper TMDL for Dissolved Oxygen",S,TMDL,EPA Final Action,2023-07-10,OKDEQ,OK121600010200_00,DISSOLVED OXYGEN,Both,NA,Implicit,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2023-07-10,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,"Fort Gibson Lake, Upper TMDL for Dissolved Oxygen",S,TMDL,EPA Final Action,2023-07-10,OKDEQ,S,TMDL Report,application/pdf,FinalFtGibsonTMDL(EPA_July2023)_revised.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121600010200_00_TMDL_DO/212592,2023-07-10,NA,TOTAL ORGANIC CARBON (TOC)
OKDEQ,Oklahoma,State,OK121510010020_00_TMDL_DO_Turbidity,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,OK121510010020_00,TURBIDITY,Both,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2024-01-24,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,S,TMDL Report,application/pdf,Lake Oologah TMDL Final.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121510010020_00_TMDL_DO_Turbidity/217310,2024-01-24,NA,TOTAL SUSPENDED SOLIDS (TSS)
OKDEQ,Oklahoma,State,OK121510010020_00_TMDL_DO_Turbidity,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,OK121510010020_00,TURBIDITY,Both,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2024-01-24,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,S,TMDL Report,application/pdf,Lake Oologah TMDL Final.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121510010020_00_TMDL_DO_Turbidity/217310,2024-01-24,NA,"PHOSPHORUS, TOTAL"
OKDEQ,Oklahoma,State,OK121510010020_00_TMDL_DO_Turbidity,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,OK121510010020_00,TURBIDITY,Both,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2024-01-24,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,S,TMDL Report,application/pdf,Lake Oologah TMDL Final.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121510010020_00_TMDL_DO_Turbidity/217310,2024-01-24,NA,TOTAL ORGANIC CARBON (TOC)
OKDEQ,Oklahoma,State,OK121510010020_00_TMDL_DO_Turbidity,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,OK121510010020_00,TURBIDITY,Both,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2024-01-24,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,S,TMDL Report,application/pdf,Lake Oologah TMDL Final.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121510010020_00_TMDL_DO_Turbidity/217310,2024-01-24,NA,"NITROGEN, TOTAL"
OKDEQ,Oklahoma,State,OK121510010020_00_TMDL_DO_Turbidity,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,OK121510010020_00,DISSOLVED OXYGEN,Both,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2024-01-24,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,S,TMDL Report,application/pdf,Lake Oologah TMDL Final.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121510010020_00_TMDL_DO_Turbidity/217310,2024-01-24,NA,TOTAL SUSPENDED SOLIDS (TSS)
OKDEQ,Oklahoma,State,OK121510010020_00_TMDL_DO_Turbidity,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,OK121510010020_00,DISSOLVED OXYGEN,Both,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2024-01-24,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,S,TMDL Report,application/pdf,Lake Oologah TMDL Final.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121510010020_00_TMDL_DO_Turbidity/217310,2024-01-24,NA,"PHOSPHORUS, TOTAL"
OKDEQ,Oklahoma,State,OK121510010020_00_TMDL_DO_Turbidity,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,OK121510010020_00,DISSOLVED OXYGEN,Both,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2024-01-24,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,S,TMDL Report,application/pdf,Lake Oologah TMDL Final.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121510010020_00_TMDL_DO_Turbidity/217310,2024-01-24,NA,TOTAL ORGANIC CARBON (TOC)
OKDEQ,Oklahoma,State,OK121510010020_00_TMDL_DO_Turbidity,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,OK121510010020_00,DISSOLVED OXYGEN,Both,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2024-01-24,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Oologah Lake TMDL for DO and Turbidity,S,TMDL,EPA Final Action,2024-01-24,OKDEQ,S,TMDL Report,application/pdf,Lake Oologah TMDL Final.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121510010020_00_TMDL_DO_Turbidity/217310,2024-01-24,NA,"NITROGEN, TOTAL"
OKDEQ,Oklahoma,State,OK121600010200_00_TMDL_Turbidity,Upper Fort Gibson Lake TMDL for Turbidity,S,TMDL,EPA Final Action,2023-07-10,OKDEQ,OK121600010200_00,TURBIDITY,Both,NA,Implicit,116752.6,KG/DAY,"<tibble[,3]>",NA,"<tibble[,2]>",2023-07-10,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Upper Fort Gibson Lake TMDL for Turbidity,S,TMDL,EPA Final Action,2023-07-10,OKDEQ,S,TMDL Report,application/pdf,FinalFtGibsonTMDL(EPA_July2023)_revised.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121600010200_00_TMDL_Turbidity/212613,2023-07-10,NA,TOTAL SUSPENDED SOLIDS (TSS)
OKDEQ,Oklahoma,State,OK121600010050_00_TMDL_DO,Fort Gibson Lake TMDL for Dissolved Oxygen,S,TMDL,EPA Final Action,2023-07-10,OKDEQ,OK121600010050_00,DISSOLVED OXYGEN,Both,NA,Implicit,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2023-07-10,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Fort Gibson Lake TMDL for Dissolved Oxygen,S,TMDL,EPA Final Action,2023-07-10,OKDEQ,S,TMDL Report,application/pdf,FinalFtGibsonTMDL(EPA_July2023)_revised.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121600010050_00_TMDL_DO/212570,2023-07-10,NA,"NITROGEN, TOTAL"
OKDEQ,Oklahoma,State,OK121600010050_00_TMDL_DO,Fort Gibson Lake TMDL for Dissolved Oxygen,S,TMDL,EPA Final Action,2023-07-10,OKDEQ,OK121600010050_00,DISSOLVED OXYGEN,Both,NA,Implicit,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2023-07-10,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Fort Gibson Lake TMDL for Dissolved Oxygen,S,TMDL,EPA Final Action,2023-07-10,OKDEQ,S,TMDL Report,application/pdf,FinalFtGibsonTMDL(EPA_July2023)_revised.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121600010050_00_TMDL_DO/212570,2023-07-10,NA,TOTAL ORGANIC CARBON (TOC)
OKDEQ,Oklahoma,State,OK121600010050_00_TMDL_DO,Fort Gibson Lake TMDL for Dissolved Oxygen,S,TMDL,EPA Final Action,2023-07-10,OKDEQ,OK121600010050_00,DISSOLVED OXYGEN,Both,NA,Implicit,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2023-07-10,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Fort Gibson Lake TMDL for Dissolved Oxygen,S,TMDL,EPA Final Action,2023-07-10,OKDEQ,S,TMDL Report,application/pdf,FinalFtGibsonTMDL(EPA_July2023)_revised.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK121600010050_00_TMDL_DO/212570,2023-07-10,NA,"PHOSPHORUS, TOTAL"
OKDEQ,Oklahoma,State,OK310830060130_00_TMDL_Chl-a,Crowder Lake TMDL for Chlorophyll-a,S,TMDL,EPA Final Action,2023-10-30,OKDEQ,OK310830060130_00,CHLOROPHYLL-A,Both,NA,Implicit,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2023-10-30,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Crowder Lake TMDL for Chlorophyll-a,S,TMDL,EPA Final Action,2023-10-30,OKDEQ,S,TMDL Report,application/pdf,CrowderTMDL_final.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK310830060130_00_TMDL_Chl-a/214451,2023-10-30,NA,"PHOSPHORUS, TOTAL"
OKDEQ,Oklahoma,State,OK310830060130_00_TMDL_Chl-a,Crowder Lake TMDL for Chlorophyll-a,S,TMDL,EPA Final Action,2023-10-30,OKDEQ,OK310830060130_00,CHLOROPHYLL-A,Both,NA,Implicit,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2023-10-30,NA,"LAKE, FRESHWATER",OKDEQ,Oklahoma,State,Crowder Lake TMDL for Chlorophyll-a,S,TMDL,EPA Final Action,2023-10-30,OKDEQ,S,TMDL Report,application/pdf,CrowderTMDL_final.pdf,TMDL Report,NA,https://attains.epa.gov/attains-public/api/documents/actions/OKDEQ/OK310830060130_00_TMDL_Chl-a/214451,2023-10-30,NA,"NITROGEN, TOTAL"
21SC60WQ,South Carolina,State,SC_138,Reedy River Basin E. coli,S,TMDL,EPA Final Action,2023-12-05,21SC60WQ,SCS-311,ESCHERICHIA COLI (E. COLI),Both,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2023-12-26,NA,LAKE,21SC60WQ,South Carolina,State,Reedy River Basin E. coli,S,TMDL,EPA Final Action,2023-12-05,21SC60WQ,S,TMDL Report,application/pdf,SCDHEC Reedy River Bacteria TMDL.pdf,SCDHEC Reedy River Bacteria TMDL,NA,https://attains.epa.gov/attains-public/api/documents/actions/21SC60WQ/SC_138/215113,2023-12-26,NA,ESCHERICHIA COLI (E. COLI)
21FL303D,Florida,State,FL53320AMD_2022,Florida Statewide Mercury TMDL as Amended through 2022,E,TMDL,EPA Final Action,2023-06-23,21FL303D,FL1329W,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,86,%REDUCTION,"<tibble[,3]>","86% reduction, Statewide WLA of 23 Kg/year","<tibble[,2]>",2023-07-11,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2022,E,TMDL,EPA Final Action,2023-06-23,21FL303D,S,TMDL Report,application/pdf,Mercury TMDL update 2023_ 06232023_final.pdf,Mercury TMDL update 2023_ 06232023_final,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2022/213173,2023-07-11,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2022,Florida Statewide Mercury TMDL as Amended through 2022,E,TMDL,EPA Final Action,2023-06-23,21FL303D,FL1613B,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,86,%REDUCTION,"<tibble[,3]>","86% reduction, Statewide WLA of 23 Kg/year","<tibble[,2]>",2023-07-11,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2022,E,TMDL,EPA Final Action,2023-06-23,21FL303D,S,TMDL Report,application/pdf,Mercury TMDL update 2023_ 06232023_final.pdf,Mercury TMDL update 2023_ 06232023_final,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2022/213173,2023-07-11,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2022,Florida Statewide Mercury TMDL as Amended through 2022,E,TMDL,EPA Final Action,2023-06-23,21FL303D,FL1340A,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,86,%REDUCTION,"<tibble[,3]>","86% reduction, Statewide WLA of 23 Kg/year","<tibble[,2]>",2023-07-11,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2022,E,TMDL,EPA Final Action,2023-06-23,21FL303D,S,TMDL Report,application/pdf,Mercury TMDL update 2023_ 06232023_final.pdf,Mercury TMDL update 2023_ 06232023_final,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2022/213173,2023-07-11,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2022,Florida Statewide Mercury TMDL as Amended through 2022,E,TMDL,EPA Final Action,2023-06-23,21FL303D,FL697A,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,86,%REDUCTION,"<tibble[,3]>","86% reduction, Statewide WLA of 23 Kg/year","<tibble[,2]>",2023-07-11,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2022,E,TMDL,EPA Final Action,2023-06-23,21FL303D,S,TMDL Report,application/pdf,Mercury TMDL update 2023_ 06232023_final.pdf,Mercury TMDL update 2023_ 06232023_final,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2022/213173,2023-07-11,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2022,Florida Statewide Mercury TMDL as Amended through 2022,E,TMDL,EPA Final Action,2023-06-23,21FL303D,FL1622,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,86,%REDUCTION,"<tibble[,3]>","86% reduction, Statewide WLA of 23 Kg/year","<tibble[,2]>",2023-07-11,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2022,E,TMDL,EPA Final Action,2023-06-23,21FL303D,S,TMDL Report,application/pdf,Mercury TMDL update 2023_ 06232023_final.pdf,Mercury TMDL update 2023_ 06232023_final,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2022/213173,2023-07-11,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2022,Florida Statewide Mercury TMDL as Amended through 2022,E,TMDL,EPA Final Action,2023-06-23,21FL303D,FL1391,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,86,%REDUCTION,"<tibble[,3]>","86% reduction, Statewide WLA of 23 Kg/year","<tibble[,2]>",2023-07-11,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2022,E,TMDL,EPA Final Action,2023-06-23,21FL303D,S,TMDL Report,application/pdf,Mercury TMDL update 2023_ 06232023_final.pdf,Mercury TMDL update 2023_ 06232023_final,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2022/213173,2023-07-11,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2020,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,FL1938C,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2022-06-30,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,S,TMDL Report,application/pdf,FL Statewide Mercury TMDL with Appx2013.pdf,tmdl document,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2020/205480,2022-06-30,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2020,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,FL1938A,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2022-06-30,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,S,TMDL Report,application/pdf,FL Statewide Mercury TMDL with Appx2013.pdf,tmdl document,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2020/205480,2022-06-30,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2020,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,FL1938H,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2022-06-30,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,S,TMDL Report,application/pdf,FL Statewide Mercury TMDL with Appx2013.pdf,tmdl document,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2020/205480,2022-06-30,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2020,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,FL3212A,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2022-06-30,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,S,TMDL Report,application/pdf,FL Statewide Mercury TMDL with Appx2013.pdf,tmdl document,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2020/205480,2022-06-30,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2020,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,FL3212B,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2022-06-30,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,S,TMDL Report,application/pdf,FL Statewide Mercury TMDL with Appx2013.pdf,tmdl document,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2020/205480,2022-06-30,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2020,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,FL3321A,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2022-06-30,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,S,TMDL Report,application/pdf,FL Statewide Mercury TMDL with Appx2013.pdf,tmdl document,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2020/205480,2022-06-30,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2020,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,FL3212C,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2022-06-30,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,S,TMDL Report,application/pdf,FL Statewide Mercury TMDL with Appx2013.pdf,tmdl document,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2020/205480,2022-06-30,NA,MERCURY IN FISH TISSUE
21FL303D,Florida,State,FL53320AMD_2020,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,FL3212D,MERCURY IN FISH TISSUE,Nonpoint source,NA,NA,NA,NA,"<tibble[,3]>",NA,"<tibble[,2]>",2022-06-30,NA,"LAKE, FRESHWATER",21FL303D,Florida,State,Florida Statewide Mercury TMDL as Amended through 2020,E,TMDL,EPA Final Action,2022-03-09,21FL303D,S,TMDL Report,application/pdf,FL Statewide Mercury TMDL with Appx2013.pdf,tmdl document,NA,https://attains.epa.gov/attains-public/api/documents/actions/21FL303D/FL53320AMD_2020/205480,2022-06-30,NA,MERCURY IN FISH TISSUE
